postcode;e;n;canton;locality
1714;2589270.105;1186336.559;FR;Heitenried
1715;2586706.029;1182561.954;FR;Alterswil FR
1716;2588270.207;1173956.947;FR;Oberschrot
1717;2583048.971;1182028.495;FR;St. Ursen
1718;2585265.507;1179587.258;FR;Rechthalten
1719;2588298.001;1178286.836;FR;Zumholz
1720;2573625.728;1184284.786;FR;Corminboeuf
1721;2572750.049;1189719.995;FR;Cormérod
1722;2579861.0;1183273.0;FR;Bourguillon
1723;2579428.667;1180374.667;FR;Marly
1724;2579778.961;1176667.865;FR;Ferpicloz
1725;2574124.494;1179249.822;FR;Posieux
1726;2571128.5;1175278.5;FR;Farvagny-le-Grand
1727;2573207.5;1176875.0;FR;Corpataux
1728;2574365.0;1174374.0;FR;Rossens FR
1730;2572844.0;1178394.0;FR;Ecuvillens
1731;2577793.0;1178164.0;FR;Ependes FR
1732;2575937.0;1177021.0;FR;Arconciel
1733;2576943.312;1175222.561;FR;Treyvaux
1734;2581561.499;1179791.916;FR;Tentlingen
1735;2582706.667;1178802.089;FR;Giffers
1736;2583353.0;1176708.0;FR;St. Silvester
1737;2585755.0;1175994.0;FR;Plasselb
1738;2594287.008;1173844.164;BE;Sangernboden
1740;2571469.0;1179635.0;FR;Neyruz FR
1741;2569161.0;1178116.0;FR;Cottens FR
1742;2568072.0;1176353.0;FR;Autigny
1744;2566478.0;1177003.0;FR;Chénens
1745;2566922.839;1178747.366;FR;Lentigny
1746;2567501.0;1181416.0;FR;Prez-vers-Noréaz
1747;2566010.0;1180245.0;FR;Corserey
1748;2563953.0;1180033.0;FR;Torny-le-Grand
1749;2562520.0;1180185.0;FR;Middes
1752;2576103.0;1182476.0;FR;Villars-sur-Glâne
1753;2573967.815;1181800.055;FR;Matran
1754;2570640.818;1181740.864;FR;Avry-sur-Matran
1756;2568729.0;1180307.5;FR;Lovens
1757;2568663.0;1183536.0;FR;Noréaz
1762;2576498.0;1184663.0;FR;Givisiez
1763;2577675.0;1185627.0;FR;Granges-Paccot
1772;2570587.475;1185815.181;FR;Nierlet-les-Bois
1773;2568092.333;1187412.667;FR;Chandon
1774;2565180.631;1184706.848;FR;Montagny-les-Monts
1775;2564708.0;1182240.5;FR;Grandsivaz
1776;2566134.87;1185283.419;FR;Montagny-la-Ville
1782;2574972.667;1186446.5;FR;Autafond
1783;2577717.0;1189090.5;FR;Barberêche
1784;2575745.0;1190803.0;FR;Courtepin
1785;2577441.0;1194325.0;FR;Cressier FR
1786;2575350.0;1201397.0;FR;Sugiez
1787;2571780.0;1199425.333;FR;Mur (Vully) FR
1788;2574229.0;1200404.0;FR;Praz (Vully)
1789;2572363.0;1200066.0;FR;Lugnorre
1791;2576484.0;1190993.0;FR;Courtaman
1792;2577690.5;1191951.5;FR;Cordast
1793;2579203.008;1194761.981;FR;Jeuss
1794;2578067.0;1195769.0;FR;Salvenach
1795;2575003.389;1193368.106;FR;Courlevon
1796;2575007.0;1195515.0;FR;Courgevaux
1797;2576127.0;1195837.0;BE;Münchenwiler
1800;2554599.0;1145910.0;VD;Vevey
1801;2553158.0;1148308.0;VD;Le Mont-Pèlerin
1802;2553158.0;1146795.0;VD;Corseaux
1803;2553203.0;1147549.0;VD;Chardonne
1804;2554359.0;1146884.0;VD;Corsier-sur-Vevey
1805;2554456.0;1148107.0;VD;Jongny
1806;2556720.0;1146939.0;VD;St-Légier-La Chiésaz
1807;2558213.056;1146276.757;VD;Blonay
1808;2556911.652;1150079.72;VD;Les Monts-de-Corsier
1809;2555970.0;1148192.0;VD;Fenil-sur-Corsier
1814;2555979.0;1145012.0;VD;La Tour-de-Peilz
1815;2558134.0;1143821.0;VD;Clarens
1816;2557995.0;1144792.0;VD;Chailly-Montreux
1817;2558865.0;1144966.0;VD;Brent
1820;2560385.0;1141771.0;VD;Montreux
1822;2559544.0;1143772.0;VD;Chernex
1823;2560680.0;1142538.0;VD;Glion
1824;2562234.0;1142771.0;VD;Caux
1832;2560278.0;1145471.5;VD;Chamby
1833;2561904.0;1145209.0;VD;Les Avants
1844;2560922.0;1138509.0;VD;Villeneuve VD
1845;2558824.0;1136881.0;VD;Noville
1846;2558113.0;1133345.0;VD;Chessel
1847;2560090.0;1136291.0;VD;Rennaz
1852;2560826.0;1134435.0;VD;Roche VD
