EGID;VOLUME;SURFACE_TOTALE;SURFACE_PARTAGE;SURFACE_TOTALE_HS;DATE_LEVE;OBJECTID
1004702;1889.456;361;0;334.262;20230301;80560
1019482;234.169;136;41.14;132.455;20230301;80678
2043962;866.793;307;89.55;289.333;20230301;80679
295009853;1744.606;380;94.49;362.78;20230301;80680
295111337;5056.383;834;0;636.153;20230301;80681
295010205;5811.687;1556;682.31;1547.351;20230301;80682
295527938;215.764;141;0;123.539;20230301;80683
295515889;575.178;246;140.51;234.219;20230301;80684
295519928;402.376;193;96.58;192.952;20230301;80685
295518098;5080.044;1112;181.91;1086.861;20230301;80686
295087220;36.181;46;0;41.197;20230301;80687
295525013;53.661;50;0;48.099;20230301;80688
3131490;846.548;260;0;255.73;20230301;80689
295511182;6544.727;1589;800.97;1585.056;20230301;80837
1022347;566.367;278;57.04;259.093;20230301;80838
295097730;417.377;196;0;189.91;20230301;80839
295519173;343.718;184;51.65;182.701;20230301;80840
1027029;439.678;211;48.49;193.563;20230301;80841
295520088;571.954;299;60.44;267.476;20230301;80842
295081576;46.289;49;0;43.981;20230301;80843
1032473;1214.469;324;0;235.016;20230301;80844
295518496;1421.44;455;0;450.768;20230301;80845
295518660;29.732;40;30.25;39.81;20230301;81002
2042890;1865.371;398;0;292.999;20230301;81003
295102655;15.894;45;3.92;44.993;20230301;81004
9082316;185921.511;12380;695.42;12212.351;20230301;81005
1012243;56896.581;7844;0;6557.404;20230301;81006
295522874;94.689;70;18.27;68.433;20230301;81007
1023146;602.252;184;61.83;172.516;20230301;81008
295518883;528.811;228;49.6;224.478;20230301;81009
